Timestamp,How old are you?,What best describes your job?,What is your primary (used most) programming language?,What other languages are you proficient in?,Which is your favorite language ?,Do you intend to learn any of the following languages within the next 12 months?,What is your primary (most used) Operating System?,What other Operating Systems do you use?,What Operating Systems do you use the terminal on? ,How many years experience do you have with the terminal?,What do you use the terminal for?,What percentage of a typical workday do you spend actively working in the terminal?,What percentage of a typical workday do you have a terminal *open*?,What percentage of a typical workday do you spend actively working in a web browser?,What percentage of a typical workday do you spend with a web browser open?,Do you use the terminal outside of paid work?,How do you feel about color in the terminal in general?,Have you customized your terminal's color theme?,How would you describe your color theme?,Is your terminal background transparent (desktop shows through) in any way?,Have you customized your terminal prompt?,Which terminal emulator(s) do you use?,How comfortable are you using a CLI (Command Line Interface)?,How comfortable are you using a TUI (Text User Interface)? i.e. a terminal based application that occupies the full extents of the window with functionality beyond the prompt.,Have you ever installed software in the terminal?,Have you ever written a CLI app?,Do you anticipate needing to write a CLI app in the next 12 months?,Have you ever written a TUI app?,Do you anticipate writing a TUI in the next 12 months?,How do you feel about TUI apps?,Have you used a TUI version of any of the following?,"If a fully featured TUI version of these existed, would you consider using it over a desktop or web application?",Have you experienced any problems using the terminal?,
29/03/2022 09:41,33,Geospatial developer,Python,"R, SQL",Python,"Javascript, PHP, Typescript",Linux,Windows,"Linux, Windows",3,"Software development, Data processing",20,50,30,100,Yes,5,No,"Dark background, light text",No,No,"Linux console, Windows Console",5,5,Yes,No,No,No,No,3,"Activity monitor / task manager, Code editor, File manager",,No major problems I was not able to solve with a quick Google search,
29/03/2022 09:41,23,Data scientist,Python,"C, C++",Python,R,Linux,Windows,Linux,5,"Editing code, Administering remote servers (ssh), Git, navigation through filesystem",5,80,0,100,Yes,2,No,"Dark background, light text",No,No,"Linux console, Terminator",4,3,Yes,Yes,Yes,No,No,2,,,"Outside of lack of my own proficiency, not.",
29/03/2022 09:42,33,UX Designer,C++,"C, C++, Java, Javascript, Scala, Typescript",Javascript,APL,It is about 1/3:1/3:1/3 for Linux:MacOS:Windows,"Linux, MacOS, Windows","Linux, Windows",3,"Software development, Administering remote servers (ssh)",10,20,70,100,Yes,5,No,"Dark background, light text",No,No,,2,2,Yes,Yes,Yes,No,No,3,"Code editor, File manager, Version control (e.g. git)",,All the time,
29/03/2022 09:43,44,Web developer (full-stack),Kotlin,"C, C++, Go, Java, Kotlin, Python, Ruby, Swift, R",Kotlin,"Rust, Typescript",MacOS,"Linux, Windows","Linux, MacOS, Windows",20,"Software development, Administering remote servers (ssh), Data processing",10,10,30,30,Yes,5,Yes,"Dark background, light text",No,Yes,"iTerm2, Yakuake, WezTerm",5,5,Yes,Yes,Yes,Yes,Yes,5,"API development / testing, Jupyter editor, Jupyter viewer, ToDo List, Note keeping, Version control (e.g. git)","Chat / Messaging, Jupyter editor, Jupyter viewer, ToDo List, Note keeping","init, sync",
29/03/2022 09:43,23,PhD student,Python,Typescript,Python,,MacOS,"Linux, Windows","Linux, MacOS",5,"Software development, Administering remote servers (ssh)",2,10,50,100,Yes,5,Yes,"Dark background, light text",Yes,Yes,,4,2,Yes,Yes,Yes,No,No,3,,,,
29/03/2022 09:44,22,Mobile application developer,Dart,"Go, Python",Python,Rust,Linux,MacOS,"Linux, MacOS",4,"Editing code, Software development",20,100,60,100,Yes,5,Yes,"Dark background, light text",Yes,Yes,"GNOME Terminal, iTerm2, xterm",5,4,Yes,Yes,Yes,No,Yes,5,"Code editor, File viewer (syntax highlighted code)","Activity monitor / task manager, API development / testing, Bitorrent client, Calendar",Nope,
29/03/2022 09:44,48,Data Manager,Python,SQL,Python,Go,MacOS,Linux,MacOS,20,"Editing code, Administering remote servers (ssh), Data processing",20,80,60,100,Yes,4,Yes,"Dark background, light text",No,No,"GNOME Terminal, iTerm2",5,4,Yes,Yes,Yes,No,No,3,"Activity monitor / task manager, Chat / Messaging, Code editor, Database administration, Database query interface","Activity monitor / task manager, Database query interface","Of course, it's the TERMINAL",
29/03/2022 09:44,23,Data scientist,Python,,Python,"Javascript, Python",Linux,Windows,Linux,4,"Editing code, Software development, Data processing",10,100,20,100,Yes,5,Yes,"Dark background, light text",No,Yes,GNOME Terminal,5,5,Yes,Yes,Yes,No,No,4,"Activity monitor / task manager, Code editor, File manager, Version control (e.g. git)","File manager, Version control (e.g. git)","Terminal themes using the ""wrong"" color for ANSI codes... suppose I should use true color more",
29/03/2022 09:44,31,Data scientist,Python,Matlab,Python,Julia,Linux,"MacOS, Windows","Linux, MacOS, Windows",6,Administering remote servers (ssh),10,90,30,90,Yes,4,No,"Light backround, dark text",No,No,,4,3,Yes,Yes,Yes,No,Yes,4,"Activity monitor / task manager, Code editor","Activity monitor / task manager, Calculator (basic /scientific), Dashboards (data visualisation), Data entry / forms, File manager, File viewer (syntax highlighted code), ToDo List, Project management / Kanban, Version control (e.g. git)",,
29/03/2022 09:44,37,Data scientist,Python,"Java, Javascript",Python,Rust,MacOS,Linux,"Linux, MacOS",8,"Administering remote servers (ssh), Data processing",20,100,80,100,Yes,5,Yes,"Dark background, light text",No,Yes,"Kitty, iTerm2",4,3,Yes,Yes,Yes,No,No,4,"Activity monitor / task manager, API development / testing, Code editor, File viewer (syntax highlighted code)","Activity monitor / task manager, API development / testing, File viewer (syntax highlighted code), Jupyter viewer",No,
29/03/2022 09:45,41,Engineering Manager,Python,"C++, C#, Java, Javascript, Python, Swift, Logo 🐢",Java,"Javascript, Kotlin, Swift",MacOS,Windows,MacOS,34,"Editing code, Administering remote servers (ssh), Data processing, git workflow, editing text documents",10,100,90,100,No,5,Yes,"Dark background, light text",Yes,Yes,"iTerm2, Windows Terminal",4,5,Yes,Yes,No,No,No,4,"Calendar, Chat / Messaging, Database administration, Database query interface, Distraction free writing, Email client, File manager, File viewer (syntax highlighted code), Games, Version control (e.g. git)","Activity monitor / task manager, Calendar, Code editor, Configuration editor, Dashboards (data visualisation), Database query interface, Data entry / forms, Distraction free writing, Email client, Jupyter viewer, Games, ToDo List, Note keeping, Version control (e.g. git)",Not really,
29/03/2022 09:45,29,Desktop application developer,Python,"Go, Java, Javascript, Rust, Typescript",Rust,,Windows,Linux,"Linux, Windows",10,"Administering remote servers (ssh), Data processing",10,99,20,99,Yes,5,No,"Dark background, light text",No,Yes,Windows Terminal,5,4,Yes,Yes,Yes,Yes,No,2,"Activity monitor / task manager, API development / testing, Configuration editor, Version control (e.g. git)",,Feature Discoverability of TUIs is often very bad.,
29/03/2022 09:46,27,Web developer (back-end),Python,Javascript,Python,"Go, Rust",Linux,MacOS,Linux,6,"Software development, Administering remote servers (ssh)",25,100,25,100,Yes,5,Yes,"Dark background, light text",Yes,Yes,"GNOME Terminal, iTerm2",5,4,Yes,Yes,Yes,Yes,No,4,"Activity monitor / task manager, Code editor, Configuration editor, File manager, File viewer (syntax highlighted code), ToDo List, Note keeping, Project management / Kanban, Version control (e.g. git)","API development / testing, Chat / Messaging, Database administration, Dashboards (data visualisation), Database query interface, Data entry / forms, Distraction free writing",Sometimes ,
29/03/2022 09:47,39,Web developer (back-end),Python,"Java, Javascript, Typescript",Python,Julia,MacOS,Linux,"Linux, MacOS",15,"Administering remote servers (ssh), Data processing",5,100,90,100,Yes,5,No,"Dark background, light text",No,No,xterm,4,4,Yes,No,Yes,No,Yes,5,"Activity monitor / task manager, Chat / Messaging, Code editor, Configuration editor, Database administration, Database query interface, File manager, Version control (e.g. git)","Activity monitor / task manager, Chat / Messaging, Configuration editor, Database administration, Dashboards (data visualisation), Database query interface, Data entry / forms",No,
29/03/2022 09:47,20,Student,C++,"C, Python, Swift",Swift,Typescript,MacOS,Linux,"Linux, MacOS",2,"Software development, Administering remote servers (ssh), Data processing",10,90,30,90,Yes,5,Yes,"Dark background, light text",No,Yes,"GNOME Terminal, iTerm2",5,4,Yes,Yes,Yes,No,Yes,5,"Activity monitor / task manager, API development / testing, Calculator (basic /scientific), Code editor, Database query interface, File manager, Games, Version control (e.g. git)","Activity monitor / task manager, API development / testing, Calculator (basic /scientific), Dashboards (data visualisation), Database query interface, Games, Version control (e.g. git)",,
29/03/2022 09:48,30,Data scientist,Python,Matlab,Python,"C++, Julia",MacOS,Linux,MacOS,2,"Software development, Administering remote servers (ssh), Data processing",50,100,10,100,Yes,3,Yes,"Dark background, light text",No,Yes,iTerm2,4,4,Yes,Yes,Yes,Yes,Yes,5,"Activity monitor / task manager, Calculator (basic /scientific), Code editor, Dashboards (data visualisation), Data entry / forms, File manager, File viewer (syntax highlighted code), ToDo List, Note keeping, Version control (e.g. git)","Calendar, Jupyter editor, Jupyter viewer",Accidentally deleted things I should not have. ,
29/03/2022 09:49,,Support Engineer,Rust,"Java, Python, Scala",Rust,,Windows,Linux,"Linux, Windows",10,"Software development, Administering remote servers (ssh), Data processing",25,100,10,100,Yes,3,Yes,"Depends on environment, lighting, etc",No,Yes,Windows Terminal,5,5,Yes,Yes,Yes,Yes,No,3,"Activity monitor / task manager, Chat / Messaging, Code editor, Configuration editor, Database administration, File manager, File viewer (syntax highlighted code), Version control (e.g. git)",API development / testing,,
29/03/2022 09:52,29,"All stacks?(iOS, web, backend, audio/video stuff)",Rust,"C, Go, Javascript, Python, Ruby, Swift, Typescript",Rust,,MacOS,"Windows, but not for development",MacOS,13,"Editing code, Software development, Administering remote servers (ssh), Data processing",75,100,25,100,Yes,4,Yes,Both based on the system's appearance setting,No,Yes,Kitty,4,4,Yes,Yes,Yes,No,No,5,"Activity monitor / task manager, API development / testing, Code editor, Configuration editor, Distraction free writing, File viewer (syntax highlighted code), Version control (e.g. git)",,Various limitations e.g. 16 colours and how they intersect with apps that use 256 or even application defined colours. ,
29/03/2022 09:52,32,Data engineer,Terraform,"Python, SQL",Python,,MacOS,Linux,"Linux, MacOS",8,"Software development, Administering remote servers (ssh)",20,100,5,100,Yes,5,No,"Light backround, dark text",No,Yes,Terminal.app,5,3,Yes,Yes,Yes,No,No,3,"Code editor, Distraction free writing, Version control (e.g. git)",,,
29/03/2022 09:53,36,DevOps,Bash,"C, Go, Java, Python",Go,"Javascript, Rust",Linux,"Linux, MacOS","Linux, MacOS",17,"Editing code, Software development, Administering remote servers (ssh), Data processing",80,100,20,100,Yes,4,No,"Dark background, light text",No,Yes,"GNOME Terminal, iTerm2",5,5,Yes,Yes,Yes,Yes,No,3,"Activity monitor / task manager, Code editor, Jupyter editor, Jupyter viewer, Games, Version control (e.g. git)","API development / testing, Calendar, ToDo List, Project management / Kanban","lol, yes",
29/03/2022 09:54,32,Web developer (full-stack),Python,Javascript,Python,Rust,MacOS,Linux,"Linux, MacOS",15,"Editing code, Software development, Administering remote servers (ssh), Data processing",30,100,30,100,Yes,5,Yes,"Dark background, light text",No,Yes,iTerm2,5,5,Yes,Yes,Yes,Yes,No,4,"Activity monitor / task manager, Bitorrent client, Chat / Messaging, Code editor, Configuration editor, Database administration, Database query interface, File viewer (syntax highlighted code), Games","Activity monitor / task manager, Bitorrent client, Games",,
29/03/2022 09:56,50,Educator,Python,"C, Go, Java, Javascript, Matlab, Rust, Shell",Python,,MacOS,"Linux, FreeBSD","Linux, MacOS, FreeBSD",35,"Editing code, Software development, Administering remote servers (ssh), Data processing, Everything",80,100,20,100,Yes,4,Yes,"Dark background, light text",Yes,Yes,Kitty,5,5,Yes,Yes,Yes,No,Yes,5,"Activity monitor / task manager, API development / testing, Bitorrent client, Code editor, Configuration editor, Database administration, Dashboards (data visualisation), Database query interface, Distraction free writing, File viewer (syntax highlighted code), Jupyter editor, Jupyter viewer, ToDo List, Note keeping, Project management / Kanban, Version control (e.g. git)","Activity monitor / task manager, API development / testing, Bitorrent client, Calendar, Calculator (basic /scientific), Chat / Messaging, Code editor, Configuration editor, Database administration, Dashboards (data visualisation), Database query interface, Data entry / forms, Distraction free writing, Email client, File manager, File viewer (syntax highlighted code), Jupyter editor, Jupyter viewer, ToDo List, Note keeping, Project management / Kanban, Spreadsheet, Version control (e.g. git)",No,
29/03/2022 09:57,25,Web developer (back-end),Python,Go,Python,,MacOS,Linux,"Linux, MacOS",5,Software development,20,100,10,100,Yes,3,Yes,"Dark background, light text",No,Yes,Terminal.app,5,4,Yes,Yes,Yes,Yes,Yes,4,"Activity monitor / task manager, API development / testing, Code editor, Database administration, File manager, Version control (e.g. git)","Activity monitor / task manager, Note keeping",,
29/03/2022 09:58,23,Web developer (full-stack),Javascript,"Java, Javascript, Python, Typescript",Javascript,"Go, Kotlin, Rust",MacOS,"Linux, Windows","Linux, MacOS",6,"Software development, Administering remote servers (ssh), Data processing",5,100,40,100,Yes,1,Yes,"Dark background, light text",No,Yes,iTerm2,3,4,Yes,No,Yes,Yes,No,4,"Activity monitor / task manager, Code editor, Configuration editor, Database administration, File manager, Version control (e.g. git)","Activity monitor / task manager, API development / testing, Bitorrent client, Database query interface, Distraction free writing, Version control (e.g. git)",,
29/03/2022 10:02,34,Data scientist,Python,"Javascript, Perl, Python, PHP",Python,Groovy,MacOS,"Linux, MacOS","Linux, MacOS",12,"Software development, Administering remote servers (ssh), Data processing",30,100,70,100,Yes,5,Yes,"Dark background, light text",No,Yes,iTerm2,5,3,Yes,Yes,Yes,No,No,3,"Activity monitor / task manager, Code editor, File viewer (syntax highlighted code)","Activity monitor / task manager, API development / testing, File manager, File viewer (syntax highlighted code), Jupyter editor, Jupyter viewer, Version control (e.g. git)",,
29/03/2022 10:03,38,Data scientist,Python,C#,Python,Go,MacOS,,MacOS,15,"Software development, Data processing",5,100,75,100,Yes,5,Yes,"Dark background, light text",No,Yes,iTerm2,5,5,Yes,Yes,Yes,Yes,Yes,5,"Activity monitor / task manager, API development / testing, Dashboards (data visualisation)","Activity monitor / task manager, API development / testing, Code editor, Configuration editor, Database administration, Dashboards (data visualisation), File manager, File viewer (syntax highlighted code), Version control (e.g. git)",,
29/03/2022 10:04,45,Software developer,Python,"C, C++, C#, Matlab",Python,Javascript,Linux,Windows,"Linux, Windows",27,"Editing code, Administering remote servers (ssh), Data processing",30,100,10,100,Yes,5,Yes,"Dark background, light text",No,Yes,"Konsole, Linux console, Terminator, Windows Terminal",5,4,Yes,Yes,Yes,No,Yes,5,"Activity monitor / task manager, Chat / Messaging, Email client, File manager","Database administration, Dashboards (data visualisation), Database query interface, ToDo List",,
29/03/2022 10:04,37,Site Reliability Engineer,Go,"C, C++, Python",Go,"C++, Typescript",Windows,Linux,Windows,20,"Editing code, Software development, Administering remote servers (ssh), Data processing, communication (IRC), messaging (E-Mail), internet (web, ftp), games",70,100,20,30,Yes,3,Yes,"Dark background, light text",No,Yes,"Windows Terminal, urxvt",5,3,Yes,Yes,Yes,No,No,1,"Activity monitor / task manager, Chat / Messaging, Code editor, Dashboards (data visualisation), Email client, File manager",,Lack of apps,
29/03/2022 10:05,27,Web developer (front-end),Javascript,PHP,Javascript,,MacOS,"Linux, Windows","Linux, MacOS",5,"Software development, Administering remote servers (ssh)",10,100,90,100,No,5,No,"Dark background, light text",No,Yes,,4,2,Yes,No,No,No,No,3,"File manager, Version control (e.g. git)",,No,
29/03/2022 10:06,34,Data scientist,R,"C++, Python",R,,MacOS,"Linux, Windows","Linux, MacOS",15,"Administering remote servers (ssh), Data processing",5,50,50,100,Yes,3,No,"Light backround, dark text",No,No,"GNOME Terminal, Terminal.app",4,3,Yes,No,No,No,No,3,"Activity monitor / task manager, Code editor, Configuration editor, Email client, File manager",,,
29/03/2022 10:07,30,Data scientist,Python,,Python,rust,MacOS,,MacOS,5,"Administering remote servers (ssh), Data processing",30,100,20,100,Yes,5,No,"Dark background, light text",Yes,No,iTerm2,4,4,Yes,Yes,Yes,Yes,Yes,5,"Activity monitor / task manager, Chat / Messaging, Code editor, Dashboards (data visualisation), File viewer (syntax highlighted code), Note keeping, Project management / Kanban, Version control (e.g. git)","Activity monitor / task manager, Configuration editor, Dashboards (data visualisation), Data entry / forms, ToDo List, Version control (e.g. git)",,
29/03/2022 10:08,26,Data scientist,Python,Go,Python,CSS,Linux,Windows,"Linux, WSL",4,Administering remote servers (ssh),5,50,10,100,Yes,5,Yes,"Dark background, light text",No,Yes,"Konsole, Terminator",5,3,Yes,Yes,Yes,No,Yes,5,"Activity monitor / task manager, Code editor, Configuration editor, File manager, File viewer (syntax highlighted code), Jupyter viewer, Version control (e.g. git)","Activity monitor / task manager, API development / testing, Configuration editor, File manager, File viewer (syntax highlighted code), Jupyter viewer, Note keeping, Project management / Kanban, Spreadsheet, Version control (e.g. git)",Yes,
29/03/2022 10:10,34,Web developer (full-stack),Ruby,"Javascript, Python, PHP",Python,Rust,Linux,,Linux,16,"Editing code, Software development, Administering remote servers (ssh), Data processing",10,100,40,100,No,3,Yes,"Dark background, light text",No,Yes,GNOME Terminal,5,4,Yes,Yes,No,No,No,4,"Activity monitor / task manager, Chat / Messaging, Code editor, Configuration editor, Database administration, Dashboards (data visualisation), Database query interface, Email client, Spreadsheet, Version control (e.g. git)","Chat / Messaging, File manager, File viewer (syntax highlighted code)",Yes,
29/03/2022 10:11,31,Data scientist,Python,"C++, Matlab, R",Python,"C++, Python, R",Linux,Windows,Linux,9,"Editing code, Software development, Administering remote servers (ssh), Data processing",50,90,50,100,Yes,5,Yes,"Dark background, light text",No,Yes,"GNOME Terminal, iTerm2",5,3,Yes,Yes,Yes,No,No,4,"Activity monitor / task manager, Code editor, Configuration editor, File manager, File viewer (syntax highlighted code), Version control (e.g. git)","Activity monitor / task manager, File viewer (syntax highlighted code), Version control (e.g. git)",Some (trivial problems),
29/03/2022 10:11,51,Professor,Python,"Julia, Scala, R, lisp, scheme, clojure",lisp,"Julia, Python, Scala, R, clojure, lisp, scheme",Linux,Linux,Linux,32,"Editing code, Software development, Administering remote servers (ssh), Data processing",80,100,100,100,Yes,5,No,"Dark background, light text",No,No,"GNOME Terminal, Linux console, xterm, lx-terminal",5,5,Yes,Yes,Yes,Yes,No,4,"Activity monitor / task manager, Bitorrent client, Calendar, Calculator (basic /scientific), Code editor, Configuration editor, Data entry / forms, Distraction free writing, File manager, File viewer (syntax highlighted code), Jupyter viewer, Games, ToDo List, Note keeping, Version control (e.g. git)","Chat / Messaging, Email client",no,
29/03/2022 10:11,27,Web developer (full-stack),Python,Javascript,Python,,MacOS,,MacOS,7,"Software development, Administering remote servers (ssh)",5,50,30,90,No,5,No,"Dark background, light text",No,No,Terminal.app,4,2,Yes,Yes,Yes,No,No,3,,,,
29/03/2022 10:11,38,Web developer (full-stack),Typescript,"C#, Javascript, Ruby, Swift",Typescript,Rust,MacOS,,MacOS,18,"Software development, Data processing, git, aws cli, starting and stopping services",5,100,30,100,Yes,4,No,"Dark background, light text",No,Yes,Terminal.app,5,3,No,Yes,Yes,No,No,3,"Code editor, Version control (e.g. git)","Dashboards (data visualisation), Database query interface, Email client, Note keeping, Project management / Kanban, Spreadsheet",,
29/03/2022 10:12,33,Data scientist,Python,Javascript,Python,Elixir,Windows,Linux,"Linux, Windows",6,"Administering remote servers (ssh), Data processing",10,60,20,100,No,4,Yes,"Dark background, light text",Yes,Yes,"Windows Terminal, Git Bash (on Windows), I think it's mintty",4,3,Yes,Yes,Yes,No,No,4,,"Activity monitor / task manager, Database query interface, ToDo List, Note keeping, Project management / Kanban, Version control (e.g. git)","Switching shells unexpectedly. For instance 'poetry shell' in my git bash terminal switches to powershell. Other problem is that they look 'scary' and ""you're inside the computer"" to lay colleagues, making a web interface an easier sell than a TUI.",
29/03/2022 10:13,32,Offensive Security,Python,,Python,"Julia, Rust",Windows,Linux,"Linux, Windows",8,"Administering remote servers (ssh), Security tool usage not involving administration",20,100,100,100,Yes,5,Yes,"Dark background, light text",No,Yes,"Terminator, Windows Terminal",5,5,Yes,Yes,Yes,Yes,Yes,5,"Code editor, File viewer (syntax highlighted code)","Activity monitor / task manager, Chat / Messaging, Code editor, Dashboards (data visualisation), File viewer (syntax highlighted code)","As a primarily Windows users, most tools are written with Linux in mind first (understandably) so Windows apps generally feel like an afterthought.",
